ANATOMY,"Interdune, Depth","Stoss, Depth","Interdune, Depth","Interdune, Depth","Interdune, Depth","Interdune, Depth","Interdune, Depth","Interdune, Depth","Interdune, Depth","Interdune, Depth",,,,,,,
Zotu,MF.28A,MF.31B,IX.10CM.A,IX.20CM.B,IX.30CM.A,IX.40CM.A,IX.50CM.A,IX.60CM.A,IX.70CM.A,IX.80CM.A,Domain,Phylum,Class,Order,Family,Genus,Species
Zotu5,41.0,186.0,25.0,27.0,46.0,21.0,34.0,44.0,106.0,187.0,bacteria,actinomycetota,actinomycetes,propionibacteriales,nocardioidaceae,nocardioides,nocardioides jensenii
Zotu62,26.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,bacteria,actinomycetota,actinomycetes,micrococcales,micrococcaceae,arthrobacter,arthrobacter parietis
Zotu15,58.0,18.0,0.0,4.0,2.0,4.0,5.0,2.0,4.0,24.0,bacteria,bacteroidota,cytophagia,cytophagales,hymenobacteraceae,adhaeribacter,adhaeribacter aquaticus
Zotu66,22.0,6.0,0.0,1.0,3.0,2.0,1.0,2.0,2.0,6.0,bacteria,pseudomonadota,gammaproteobacteria,pseudomonadales,pseudomonadaceae,pseudomonas,pseudomonas fragi
Zotu766,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,bacteria,bacillota,bacilli,bacillales,paenibacillaceae,paenibacillus,paenibacillus yonginensis
Zotu5726,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,bacteria,actinomycetota,actinomycetes,geodermatophilales,geodermatophilaceae,geodermatophilus,geodermatophilus bullaregiensis
Zotu282,19.0,20.0,6.0,3.0,2.0,2.0,8.0,7.0,5.0,49.0,bacteria,actinomycetota,actinomycetes,micrococcales,micrococcaceae,arthrobacter,arthrobacter globiformis
Zotu7,252.0,19.0,9.0,12.0,14.0,11.0,10.0,17.0,15.0,197.0,bacteria,pseudomonadota,betaproteobacteria,burkholderiales,oxalobacteraceae,herbaspirillum,herbaspirillum rhizosphaerae
Zotu58,45.0,7.0,6.0,3.0,2.0,6.0,5.0,5.0,11.0,214.0,bacteria,actinomycetota,actinomycetes,mycobacteriales,corynebacteriaceae,corynebacterium,corynebacterium vitaeruminis
