ANATOMY,Interdune,Stoss,Lee,Interdune,Interdune,Interdune,Interdune,Stoss,Lee,Interdune,Stoss,Lee,Interdune,Stoss,Lee,Interdune,"Interdune, Depth",Lee,"Stoss, Depth",Interdune,Stoss,Stoss,Lee,Lee,Lee,Stoss,Stoss,Lee,Stoss,Lee,"Stoss, Star","Stoss, Star","Lee, Star","Stoss, Star","Stoss, Star",Stoss,Lee,Stoss,Stoss,Lee,Lee,Lee,Lee,Interdune,Interdune,Stoss,Stoss,Stoss,Lee,Lee,Interdune,Lee,"Stoss, Crest",Lee,"Interdune, Depth","Interdune, Depth","Interdune, Depth","Interdune, Depth","Interdune, Depth","Interdune, Depth","Interdune, Depth","Interdune, Depth",,,,,,,
Zotu,MF.4B,MF.5B,MF.6B,MF.7B,MF.8B,MF.11A,MF.12A,MF.13A,MF.14B,MF.15A,MF.16A,MF.17A,MF.18B,MF.19A,MF.20A,MF.27B,MF.28A,MF.30A,MF.31B,MF.33A,ED.01A,ED.02B,ED.03A,ED.04A,ED.05A,ED.06A,ED.08A,ED.09A,ED.10A,ED.11A,ED.12A,ED.13A,ED.14B,ED.15B,ED.16A,ED.17B,ED.18A,ED.19A,ED.20A,ED.21A,ED.22A,ED.23A,ED.24A,ED.33A,IX.1B,IX.2A,IX.3A,IX.4B,IX.5A,IX.6A,IX.7A,IX.8A,IX.9A,IX.10A,IX.10CM.A,IX.20CM.B,IX.30CM.A,IX.40CM.A,IX.50CM.A,IX.60CM.A,IX.70CM.A,IX.80CM.A,Domain,Phylum,Class,Order,Family,Genus,Species
Zotu5,384.0,393.0,169.0,161.0,41.0,39.0,333.0,339.0,481.0,1176.0,414.0,283.0,34.0,570.0,146.0,23.0,41.0,105.0,186.0,463.0,48.0,316.0,316.0,28.0,283.0,77.0,238.0,456.0,165.0,408.0,35.0,326.0,106.0,192.0,210.0,28.0,402.0,442.0,22.0,427.0,43.0,784.0,826.0,27.0,56.0,1204.0,714.0,430.0,778.0,1357.0,480.0,134.0,91.0,165.0,25.0,27.0,46.0,21.0,34.0,44.0,106.0,187.0,bacteria,actinomycetota,actinomycetes,propionibacteriales,nocardioidaceae,nocardioides,nocardioides jensenii
Zotu62,4151.0,11.0,15.0,15.0,26.0,54.0,48.0,22.0,16.0,50.0,17.0,35.0,15.0,20.0,17.0,137.0,26.0,27.0,11.0,190.0,20.0,12.0,37.0,8.0,24.0,15.0,68.0,21.0,19.0,25.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,bacteria,actinomycetota,actinomycetes,micrococcales,micrococcaceae,arthrobacter,arthrobacter parietis
Zotu15,5905.0,102.0,118.0,28.0,36.0,143.0,163.0,40.0,34.0,78.0,61.0,99.0,21.0,91.0,110.0,800.0,58.0,101.0,18.0,494.0,187.0,28.0,77.0,27.0,27.0,29.0,63.0,40.0,31.0,63.0,39.0,2.0,4.0,2.0,3.0,4.0,4.0,4.0,7.0,2.0,2.0,3.0,2.0,4.0,462.0,4.0,7.0,8.0,1.0,3.0,35.0,60.0,21.0,29.0,0.0,4.0,2.0,4.0,5.0,2.0,4.0,24.0,bacteria,bacteroidota,cytophagia,cytophagales,hymenobacteraceae,adhaeribacter,adhaeribacter aquaticus
Zotu66,282.0,150.0,38.0,12.0,5.0,6.0,1202.0,347.0,34.0,123.0,7.0,92.0,11.0,73.0,78.0,141.0,22.0,14.0,6.0,14.0,17.0,12.0,12.0,11.0,16.0,15.0,13.0,11.0,20.0,20.0,16.0,0.0,2.0,3.0,5.0,1.0,2.0,1.0,2.0,1.0,1.0,95.0,4.0,1.0,118.0,0.0,2.0,0.0,2.0,3.0,2.0,103.0,189.0,1.0,0.0,1.0,3.0,2.0,1.0,2.0,2.0,6.0,bacteria,pseudomonadota,gammaproteobacteria,pseudomonadales,pseudomonadaceae,pseudomonas,pseudomonas fragi
Zotu766,381.0,0.0,4.0,1.0,1.0,2.0,5.0,4.0,0.0,31.0,1.0,5.0,0.0,2.0,1.0,2.0,1.0,0.0,2.0,4.0,3.0,0.0,1.0,3.0,0.0,4.0,2.0,0.0,3.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,bacteria,bacillota,bacilli,bacillales,paenibacillaceae,paenibacillus,paenibacillus yonginensis
Zotu5726,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,19.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,bacteria,actinomycetota,actinomycetes,geodermatophilales,geodermatophilaceae,geodermatophilus,geodermatophilus bullaregiensis
Zotu282,273.0,31.0,33.0,2.0,12.0,3.0,4.0,44.0,9.0,12.0,3.0,37.0,2.0,34.0,16.0,4.0,19.0,27.0,20.0,4.0,54.0,56.0,4.0,5.0,7.0,1.0,6.0,9.0,45.0,19.0,40.0,115.0,3.0,1.0,3.0,3.0,42.0,1.0,2.0,3.0,3.0,21.0,152.0,4.0,79.0,4.0,0.0,3.0,4.0,3.0,38.0,42.0,42.0,24.0,6.0,3.0,2.0,2.0,8.0,7.0,5.0,49.0,bacteria,actinomycetota,actinomycetes,micrococcales,micrococcaceae,arthrobacter,arthrobacter globiformis
Zotu7,1081.0,342.0,417.0,320.0,105.0,125.0,242.0,417.0,130.0,684.0,31.0,333.0,41.0,413.0,769.0,72.0,252.0,205.0,19.0,257.0,2892.0,81.0,120.0,44.0,209.0,62.0,70.0,273.0,236.0,819.0,125.0,158.0,710.0,152.0,206.0,28.0,145.0,359.0,48.0,55.0,22.0,240.0,892.0,77.0,358.0,10.0,22.0,17.0,20.0,25.0,54.0,531.0,125.0,386.0,9.0,12.0,14.0,11.0,10.0,17.0,15.0,197.0,bacteria,pseudomonadota,betaproteobacteria,burkholderiales,oxalobacteraceae,herbaspirillum,herbaspirillum rhizosphaerae
Zotu58,250.0,111.0,75.0,36.0,15.0,49.0,33.0,153.0,42.0,34.0,52.0,111.0,8.0,73.0,78.0,133.0,45.0,11.0,7.0,20.0,100.0,12.0,306.0,5.0,24.0,60.0,246.0,105.0,120.0,394.0,8.0,219.0,13.0,84.0,47.0,9.0,175.0,141.0,76.0,258.0,14.0,419.0,10.0,33.0,176.0,10.0,13.0,17.0,21.0,13.0,59.0,136.0,69.0,203.0,6.0,3.0,2.0,6.0,5.0,5.0,11.0,214.0,bacteria,actinomycetota,actinomycetes,mycobacteriales,corynebacteriaceae,corynebacterium,corynebacterium vitaeruminis
