ANATOMY,"Interdune, Depth","Stoss, Depth","Interdune, Depth","Interdune, Depth","Interdune, Depth","Interdune, Depth","Interdune, Depth","Interdune, Depth","Interdune, Depth","Interdune, Depth",,,,,,,
Zotu,MF.28A,MF.31B,IX.10CM.A,IX.20CM.B,IX.30CM.A,IX.40CM.A,IX.50CM.A,IX.60CM.A,IX.70CM.A,IX.80CM.A,Domain,Phylum,Class,Order,Family,Genus,Species
Zotu5,0.140632503258558,0.5845380263984915,0.08589884551951621,0.09003301210443829,0.15194556385016844,0.06847751654873316,0.11392574721887147,0.14532963403355795,0.3440218096845385,0.6010735752627688,bacteria,actinomycetota,actinomycetes,propionibacteriales,nocardioidaceae,nocardioides,nocardioides jensenii
Zotu62,0.08918158743225629,0.034569453174104335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,bacteria,actinomycetota,actinomycetes,micrococcales,micrococcaceae,arthrobacter,arthrobacter parietis
Zotu15,0.19894354119503327,0.05656819610307982,0.0,0.01333822401547234,0.0066063288630508026,0.013043336485472984,0.016753786355716394,0.006605892456070815,0.012981955082435416,0.0771431326540452,bacteria,bacteroidota,cytophagia,cytophagales,hymenobacteraceae,adhaeribacter,adhaeribacter aquaticus
Zotu66,0.07546134321190917,0.018856065367693277,0.0,0.003334556003868085,0.009909493294576204,0.006521668242736492,0.0033507572711432786,0.006605892456070815,0.006490977541217708,0.0192857831635113,bacteria,pseudomonadota,gammaproteobacteria,pseudomonadales,pseudomonadaceae,pseudomonas,pseudomonas fragi
Zotu766,0.0034300610550867805,0.006285355122564425,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,bacteria,bacillota,bacilli,bacillales,paenibacillaceae,paenibacillus,paenibacillus yonginensis
Zotu5726,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,bacteria,actinomycetota,actinomycetes,geodermatophilales,geodermatophilaceae,geodermatophilus,geodermatophilus bullaregiensis
Zotu282,0.06517116004664883,0.06285355122564425,0.02061572292468389,0.010003668011604254,0.0066063288630508026,0.006521668242736492,0.02680605816914623,0.023120623596247853,0.01622744385304427,0.15750056250200892,bacteria,actinomycetota,actinomycetes,micrococcales,micrococcaceae,arthrobacter,arthrobacter globiformis
Zotu7,0.8643753858818687,0.05971087366436204,0.03092358438702584,0.04001467204641702,0.04624430204135562,0.035869175335050706,0.03350757271143279,0.056150085876601925,0.048682331559132805,0.6332165472019543,bacteria,pseudomonadota,betaproteobacteria,burkholderiales,oxalobacteraceae,herbaspirillum,herbaspirillum rhizosphaerae
Zotu58,0.15435274747890512,0.021998742928975485,0.02061572292468389,0.010003668011604254,0.0066063288630508026,0.019565004728209476,0.016753786355716394,0.016514731140177038,0.03570037647669739,0.6878595994985697,bacteria,actinomycetota,actinomycetes,mycobacteriales,corynebacteriaceae,corynebacterium,corynebacterium vitaeruminis
Zotu236,0.0034300610550867805,0.0,0.013743815283122596,0.0,0.013212657726101605,0.019565004728209476,0.013403029084573114,0.019817677368212445,0.01622744385304427,0.012857188775674199,bacteria,actinomycetota,actinomycetes,micrococcales,micrococcaceae,kocuria,kocuria salina
Zotu342,0.017150305275433902,0.0031426775612822125,0.0,0.0,0.0,0.009782502364104738,0.0,0.0,0.0,0.00964289158175565,bacteria,bacteroidota,chitinophagia,chitinophagales,chitinophagaceae,sediminibacterium,sediminibacterium salmoneum
Zotu1,1.0701790491870755,3.4098051539912007,0.41575041231445853,0.25009170029010636,1.1098632489925349,2.282583884957772,0.35182951347004426,0.7894041485004624,0.7237439958457744,0.6042878724566874,bacteria,gemmatimonadota,longimicrobiia,longimicrobiales,longimicrobiaceae,longimicrobium,longimicrobium terrae
Zotu5769,0.013720244220347122,0.0,0.0,0.02667644803094468,0.0,0.0,0.02680605816914623,0.0,0.0,0.0,bacteria,pseudomonadota,gammaproteobacteria,moraxellales,moraxellaceae,acinetobacter,acinetobacter indicus
Zotu2615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,bacteria,pseudomonadota,alphaproteobacteria,hyphomicrobiales,kaistiaceae,bauldia,bauldia consociata
Zotu802,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,bacteria,actinomycetota,actinomycetes,micrococcales,microbacteriaceae,microbacterium,microbacterium proteolyticum
Zotu70,0.05145091582630171,0.009428032683846638,0.017179769103903245,0.00666911200773617,0.013212657726101605,0.0,0.010052271813429835,0.01321178491214163,0.006490977541217708,0.0385715663270226,bacteria,actinomycetota,acidimicrobiia,acidimicrobiales,acidimicrobiaceae,aciditerrimonas,aciditerrimonas ferrireducens
Zotu14,0.13720244220347122,0.2011313639220616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,bacteria,pseudomonadota,betaproteobacteria,burkholderiales,oxalobacteraceae,herbaspirillum,herbaspirillum rhizosphaerae
Zotu132,0.037730671605954585,0.0251414204902577,0.0,0.0,0.0,0.0,0.0033507572711432786,0.0,0.003245488770608854,0.09964321301147504,bacteria,bacteroidota,cytophagia,cytophagales,hymenobacteraceae,adhaeribacter,adhaeribacter aquaticus
