ANATOMY,Interdune,Stoss,Lee,Interdune,Interdune,Interdune,Interdune,Stoss,Lee,Interdune,Stoss,Lee,Interdune,Stoss,Lee,Interdune,"Interdune, Depth",Lee,"Stoss, Depth",Interdune,Stoss,Stoss,Lee,Lee,Lee,Stoss,Stoss,Lee,Stoss,Lee,"Stoss, Star","Stoss, Star","Lee, Star","Stoss, Star","Stoss, Star",Stoss,Lee,Stoss,Stoss,Lee,Lee,Lee,Lee,Interdune,Interdune,Stoss,Stoss,Stoss,Lee,Lee,Interdune,Lee,"Stoss, Crest",Lee,"Interdune, Depth","Interdune, Depth","Interdune, Depth","Interdune, Depth","Interdune, Depth","Interdune, Depth","Interdune, Depth","Interdune, Depth",,,,,,,
Zotu,MF.4B,MF.5B,MF.6B,MF.7B,MF.8B,MF.11A,MF.12A,MF.13A,MF.14B,MF.15A,MF.16A,MF.17A,MF.18B,MF.19A,MF.20A,MF.27B,MF.28A,MF.30A,MF.31B,MF.33A,ED.01A,ED.02B,ED.03A,ED.04A,ED.05A,ED.06A,ED.08A,ED.09A,ED.10A,ED.11A,ED.12A,ED.13A,ED.14B,ED.15B,ED.16A,ED.17B,ED.18A,ED.19A,ED.20A,ED.21A,ED.22A,ED.23A,ED.24A,ED.33A,IX.1B,IX.2A,IX.3A,IX.4B,IX.5A,IX.6A,IX.7A,IX.8A,IX.9A,IX.10A,IX.10CM.A,IX.20CM.B,IX.30CM.A,IX.40CM.A,IX.50CM.A,IX.60CM.A,IX.70CM.A,IX.80CM.A,Domain,Phylum,Class,Order,Family,Genus,Species
Zotu5,384,393,169,161,41,39,333,339,481,1176,414,283,34,570,146,23,41,105,186,463,48,316,316,28,283,77,238,456,165,408,35,326,106,192,210,28,402,442,22,427,43,784,826,27,56,1204,714,430,778,1357,480,134,91,165,25,27,46,21,34,44,106,187,bacteria,actinomycetota,actinomycetes,propionibacteriales,nocardioidaceae,nocardioides,nocardioides jensenii
Zotu62,4151,11,15,15,26,54,48,22,16,50,17,35,15,20,17,137,26,27,11,190,20,12,37,8,24,15,68,21,19,25,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,bacteria,actinomycetota,actinomycetes,micrococcales,micrococcaceae,arthrobacter,arthrobacter parietis
Zotu15,5905,102,118,28,36,143,163,40,34,78,61,99,21,91,110,800,58,101,18,494,187,28,77,27,27,29,63,40,31,63,39,2,4,2,3,4,4,4,7,2,2,3,2,4,462,4,7,8,1,3,35,60,21,29,0,4,2,4,5,2,4,24,bacteria,bacteroidota,cytophagia,cytophagales,hymenobacteraceae,adhaeribacter,adhaeribacter aquaticus
Zotu66,282,150,38,12,5,6,1202,347,34,123,7,92,11,73,78,141,22,14,6,14,17,12,12,11,16,15,13,11,20,20,16,0,2,3,5,1,2,1,2,1,1,95,4,1,118,0,2,0,2,3,2,103,189,1,0,1,3,2,1,2,2,6,bacteria,pseudomonadota,gammaproteobacteria,pseudomonadales,pseudomonadaceae,pseudomonas,pseudomonas fragi
Zotu766,381,0,4,1,1,2,5,4,0,31,1,5,0,2,1,2,1,0,2,4,3,0,1,3,0,4,2,0,3,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,bacteria,bacillota,bacilli,bacillales,paenibacillaceae,paenibacillus,paenibacillus yonginensis
Zotu5726,1,0,0,0,0,0,0,0,0,0,11,19,0,1,1,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,bacteria,actinomycetota,actinomycetes,geodermatophilales,geodermatophilaceae,geodermatophilus,geodermatophilus bullaregiensis
Zotu282,273,31,33,2,12,3,4,44,9,12,3,37,2,34,16,4,19,27,20,4,54,56,4,5,7,1,6,9,45,19,40,115,3,1,3,3,42,1,2,3,3,21,152,4,79,4,0,3,4,3,38,42,42,24,6,3,2,2,8,7,5,49,bacteria,actinomycetota,actinomycetes,micrococcales,micrococcaceae,arthrobacter,arthrobacter globiformis
Zotu7,1081,342,417,320,105,125,242,417,130,684,31,333,41,413,769,72,252,205,19,257,2892,81,120,44,209,62,70,273,236,819,125,158,710,152,206,28,145,359,48,55,22,240,892,77,358,10,22,17,20,25,54,531,125,386,9,12,14,11,10,17,15,197,bacteria,pseudomonadota,betaproteobacteria,burkholderiales,oxalobacteraceae,herbaspirillum,herbaspirillum rhizosphaerae
Zotu58,250,111,75,36,15,49,33,153,42,34,52,111,8,73,78,133,45,11,7,20,100,12,306,5,24,60,246,105,120,394,8,219,13,84,47,9,175,141,76,258,14,419,10,33,176,10,13,17,21,13,59,136,69,203,6,3,2,6,5,5,11,214,bacteria,actinomycetota,actinomycetes,mycobacteriales,corynebacteriaceae,corynebacterium,corynebacterium vitaeruminis
Zotu236,262,0,2,1,0,1,0,0,0,1,2,3,1,2,1,3,1,2,0,3,1,1,3,0,5,0,1,2,2,1,1,10,6,4,2,1,336,586,8,2,2,5,7,4,83,7,2,17,9,7,4,6,14,7,4,0,4,6,4,6,5,4,bacteria,actinomycetota,actinomycetes,micrococcales,micrococcaceae,kocuria,kocuria salina
Zotu342,629,20,2,9,5,6,31,17,10,8,2,7,1,4,12,3,5,9,1,47,15,1,2,3,1,1,5,2,5,3,3,0,1,1,1,0,1,0,0,1,0,0,2,0,36,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,3,bacteria,bacteroidetes,chitinophagia,chitinophagales,chitinophagaceae,sediminibacterium,sediminibacterium salmoneum
Zotu1,607,926,968,209,241,366,400,517,244,265,1709,1761,17626,318,227,235,312,336,1085,3005,885,5824,6195,8908,6029,6889,5370,709,464,300,8692,6794,5940,4456,4386,5730,492,335,345,457,11631,324,599,114,1940,4160,3101,3647,4894,3449,2078,392,1068,2523,121,75,336,700,105,239,223,188,bacteria,gemmatimonadota,longimicrobiia,longimicrobiales,longimicrobiaceae,longimicrobium,longimicrobium terrae
Zotu5769,1,1,0,2,10,0,0,0,1,0,0,0,0,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,1,0,0,0,1,1,0,0,8,0,0,8,0,0,0,bacteria,pseudomonadota,gammaproteobacteria,moraxellales,moraxellaceae,acinetobacter,acinetobacter indicus
Zotu2615,74,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,9,0,0,0,0,0,0,0,0,0,0,bacteria,pseudomonadota,alphaproteobacteria,hyphomicrobiales,kaistiaceae,bauldia,bauldia consociata
Zotu802,323,1,1,1,0,2,5,1,1,1,1,0,1,2,1,0,0,1,0,0,0,1,3,1,0,1,0,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,bacteria,actinomycetota,actinomycetes,micrococcales,microbacteriaceae,microbacterium,microbacterium proteolyticum
Zotu70,262,12,25,9,15,12,5,9,4,5,7,32,8,12,13,10,15,14,3,291,20,4,700,397,193,81,6,6,4,11,125,100,192,3,167,5,44,18,46,23,1,6,3,2,48,74,2,48,150,2,36,8,38,19,5,2,4,0,3,4,2,12,bacteria,actinomycetota,acidimicrobiia,acidimicrobiales,acidimicrobiaceae,aciditerrimonas,aciditerrimonas ferrireducens
Zotu14,68,63,38,50,30,7581,30,57,39,623,51,47,26,63,42,280,40,59,64,53,53,42,54,43,48,54,48,74,71,59,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,bacteria,pseudomonadota,betaproteobacteria,burkholderiales,oxalobacteraceae,herbaspirillum,herbaspirillum rhizosphaerae
Zotu132,538,29,14,8,2,1261,15,16,16,14,9,17,7,14,20,12,11,11,8,5,7,8,9,7,3,23,22,4,4,16,9,1,0,0,0,0,0,0,0,1,0,1,0,0,49,2,1,0,4,0,46,5,17,0,0,0,0,0,1,0,1,31,bacteria,bacteroidota,cytophagia,cytophagales,hymenobacteraceae,adhaeribacter,adhaeribacter aquaticus
Zotu147,7,538,24,5,1,2,4,345,97,3,33,10,10,51,28,11,8,114,118,11,4,5,9,10,13,6,11,5,11,19,12,2,1,1,0,3,47,28,1,5,1,0,1,0,3,1,135,2,1,2,0,11,1,1,1,1,54,3,0,1,2,1,bacteria,pseudomonadota,betaproteobacteria,burkholderiales,oxalobacteraceae,herbaspirillum,herbaspirillum rhizosphaerae
Zotu10,39,186,88,27,34,45,534,381,217,1675,97,91,21,400,89,19,34,77,60,426,46,18,395,22,563,268,170,299,104,272,207,15,16,244,234,19,593,191,146,536,20,699,104,18,18,12,184,296,26,222,242,152,65,99,10,11,12,10,10,14,15,55,bacteria,actinomycetota,actinomycetes,pseudonocardiales,pseudonocardiaceae,saccharothrix,saccharothrix espanaensis
Zotu314,15,8,5,5,5,6,4,3,0,3,0,13,4,6,24,2,8,8,0,3,4,0,6,0,5,3,40,2,522,91,4,2,0,1,65,1,0,1,0,50,1,1,1,0,1,2,1,0,0,0,24,1,0,12,0,1,1,1,0,0,1,3,bacteria,pseudomonadota,alphaproteobacteria,hyphomicrobiales,xanthobacteraceae,pseudolabrys,pseudolabrys taiwanensis
Zotu6,34,46,89,27,37,30,60,97,35,15,98,160,2132,25,38,27,63,152,108,270,52,985,1854,165,519,165,331,230,36,30,237,743,1034,682,184,1130,40,21,23,152,257,14,22,21,117,191,236,265,587,270,268,25,76,53,18,11,14,8,48,33,60,26,bacteria,bacillota,bacilli,bacillales,staphylococcaceae,staphylococcus,staphylococcus warneri
Zotu285,182,10,7,6,3,19,0,4,9,3,31,29,1,2,4,2,2,45,3,170,3,320,4,1,2,5,2,9,1,11,2,62,6,77,155,4,1,70,258,1,3,31,2,3,74,65,30,2,5,4,7,11,6,4,2,2,15,3,4,2,3,5,bacteria,pseudomonadota,betaproteobacteria,burkholderiales,oxalobacteraceae,oxalicibacterium,oxalicibacterium faecigallinarum
Zotu840,258,1,2,4,1,1,3,33,0,2,1,3,3,1,1,3,0,3,3,4,16,0,5,0,0,4,5,3,1,0,4,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,26,0,0,0,0,0,0,0,0,bacteria,actinomycetota,actinomycetes,propionibacteriales,nocardioidaceae,nocardioides,nocardioides marinus
Zotu183,106,18,62,2,8,8,46,83,14,232,8,29,5,32,48,4,38,44,5,441,32,5,6,4,8,8,5,10,17,5,12,0,2,1,2,6,1,2,0,6,0,0,0,3,3,2,2,52,1,3,141,26,22,47,0,0,1,0,0,2,0,1,bacteria,actinomycetota,actinomycetes,propionibacteriales,nocardioidaceae,nocardioides,nocardioides pakistanensis
Zotu52,584,75,40,68,46,154,55,100,56,882,93,33,8,115,19,43,260,164,8,347,31,14,25,7,13,13,111,14,17,19,15,5,7,6,10,8,6,5,8,20,4,8,5,383,6,50,246,132,397,5,147,13,30,23,5,6,6,4,3,24,54,12,bacteria,pseudomonadota,alphaproteobacteria,hyphomicrobiales,xanthobacteraceae,labrys,labrys wisconsinensis
Zotu85,239,28,19,3,7,18,3,1,4,2,5,48,7,5,4,12,3,7,27,34,58,174,1,1,1,41,292,99,11,30,139,236,1,5,57,444,69,4,20,59,153,2,2,5,8,3,88,58,65,4,3,5,3,3,4,4,4,278,3,15,11,4,bacteria,bacteroidota,chitinophagia,chitinophagales,chitinophagaceae,cnuella,cnuella takakiae
Zotu446,526,5,6,139,1,1,3,5,1,0,2,3,8,1,10,2,5,1,4,1,6,0,5,0,4,3,6,1,5,3,2,1,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,bacteria,proteobacteria,alphaproteobacteria,sphingomonadales,sphingomonadaceae,novosphingobium,novosphingobium stygium
